metro_nonmetro,Value,MorN
Nonmetropolitan,78.67,1
Nonmetropolitan,78.89,1
Nonmetropolitan,79.31,1
Nonmetropolitan,78.9,1
Nonmetropolitan,77.36,1
Nonmetropolitan,77.9,1
Nonmetropolitan,77.49,1
Nonmetropolitan,77.46,1
Nonmetropolitan,78.11,1
Nonmetropolitan,77.72,1
Nonmetropolitan,78.76,1
Nonmetropolitan,78.88,1
Nonmetropolitan,77.26,1
Nonmetropolitan,77.51,1
Nonmetropolitan,78.95,1
Nonmetropolitan,78.63,1
Nonmetropolitan,75.36,1
Nonmetropolitan,78.03,1
Nonmetropolitan,75.38,1
Nonmetropolitan,77.62,1
Nonmetropolitan,77.76,1
Nonmetropolitan,79.75,1
Nonmetropolitan,75.35,1
Nonmetropolitan,78.61,1
Nonmetropolitan,77.64,1
Nonmetropolitan,79.05,1
Nonmetropolitan,77.27,1
Nonmetropolitan,80.74,1
Nonmetropolitan,78.1,1
Nonmetropolitan,77.62,1
Nonmetropolitan,78.06,1
Nonmetropolitan,76.14,1
Nonmetropolitan,78.31,1
Nonmetropolitan,78.06,1
Nonmetropolitan,78.43,1
Nonmetropolitan,76.44,1
Nonmetropolitan,77.32,1
Nonmetropolitan,75.89,1
Nonmetropolitan,79.63,1
Nonmetropolitan,77.89,1
Nonmetropolitan,78.36,1
Nonmetropolitan,78.14,1
Nonmetropolitan,79.57,1
Nonmetropolitan,77.45,1
Nonmetropolitan,78.55,1
Nonmetropolitan,78.04,1
Nonmetropolitan,74.77,1
Nonmetropolitan,79.74,1
Nonmetropolitan,77.8,1
Nonmetropolitan,78.12,1
Nonmetropolitan,74.87,1
Nonmetropolitan,78.72,1
Nonmetropolitan,78.74,1
Nonmetropolitan,79.73,1
Nonmetropolitan,79.49,1
Nonmetropolitan,76.63,1
Nonmetropolitan,78.21,1
Nonmetropolitan,78.47,1
Nonmetropolitan,78.92,1
Nonmetropolitan,78.05,1
Nonmetropolitan,76.87,1
Nonmetropolitan,78.77,1
Nonmetropolitan,78.7,1
Nonmetropolitan,79.09,1
Nonmetropolitan,79.49,1
Nonmetropolitan,79.06,1
Nonmetropolitan,77.23,1
Nonmetropolitan,77.92,1
Nonmetropolitan,77.36,1
Nonmetropolitan,77.51,1
Nonmetropolitan,78.42,1
Nonmetropolitan,77.78,1
Nonmetropolitan,78.8,1
Nonmetropolitan,78.85,1
Nonmetropolitan,77.33,1
Nonmetropolitan,77.46,1
Nonmetropolitan,79.01,1
Nonmetropolitan,78.76,1
Nonmetropolitan,75.28,1
Nonmetropolitan,77.84,1
Metro,74.33,0
Metro,78.71,0
Metro,79.74,0
Metro,78.82,0
Metro,80.29,0
Metro,79.52,0
Metro,78.44,0
Metro,78.12,0
Metro,79.79,0
Metro,81.61,0
Metro,77.51,0
Metro,78.62,0
Metro,79.08,0
Metro,78.21,0
Metro,78.05,0
Metro,80.58,0
Metro,77.15,0
Metro,80.94,0
Metro,80.83,0
Metro,77.95,0
Metro,78.14,0
Metro,77.5,0
Metro,78.18,0
Metro,79.89,0
Metro,79.88,0
Metro,78.57,0
Metro,79.41,0
Metro,80.23,0
Metro,78.07,0
Metro,79.41,0
Metro,78.84,0
Metro,78.29,0
Metro,76.68,0
Metro,78.41,0
Metro,78.67,0
Metro,76.49,0
Metro,79.76,0
Metro,76.9,0
Metro,78.13,0
Metro,80.29,0
Metro,74.15,0
Metro,78.87,0
Metro,79.75,0
Metro,78.93,0
Metro,80.25,0
Metro,79.62,0
Metro,78.67,0
Metro,78.05,0
Metro,79.89,0
Metro,81.87,0
Metro,77.37,0
Metro,78.53,0
Metro,79.4,0
Metro,78.35,0
Metro,78.17,0
Metro,80.92,0
Metro,77.03,0
Metro,81.17,0
Metro,81.04,0
Metro,77.7,0
Metro,78.02,0
Metro,77.16,0
Metro,78.04,0
Metro,80.15,0
Metro,80.09,0
Metro,78.66,0
Metro,79.51,0
Metro,80.48,0
Metro,78.22,0
Metro,79.4,0
Metro,78.76,0
Metro,78.33,0
Metro,76.67,0
Metro,78.31,0
Metro,78.69,0
Metro,76.19,0
Metro,79.94,0
Metro,76.94,0
Metro,77.95,0
Metro,80.3,0
