metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,Alexander County,IL,us-il-003,74.33
Metropolitan,2010,Bond County,IL,us-il-005,78.71
Metropolitan,2010,Boone County,IL,us-il-007,79.74
Metropolitan,2010,Calhoun County,IL,us-il-013,78.82
Metropolitan,2010,Champaign County,IL,us-il-019,80.29
Metropolitan,2010,Clinton County,IL,us-il-027,79.52
Metropolitan,2010,Cook County,IL,us-il-031,78.44
Metropolitan,2010,De Witt County,IL,us-il-039,78.12
Metropolitan,2010,DeKalb County,IL,us-il-037,79.79
Metropolitan,2010,DuPage County,IL,us-il-043,81.61
Metropolitan,2010,Ford County,IL,us-il-053,77.51
Metropolitan,2010,Grundy County,IL,us-il-063,78.62
Metropolitan,2010,Henry County,IL,us-il-073,79.08
Metropolitan,2010,Jackson County,IL,us-il-077,78.21
Metropolitan,2010,Jersey County,IL,us-il-083,78.05
Metropolitan,2010,Kane County,IL,us-il-089,80.58
Metropolitan,2010,Kankakee County,IL,us-il-091,77.15
Metropolitan,2010,Kendall County,IL,us-il-093,80.94
Metropolitan,2010,Lake County,IL,us-il-097,80.83
Metropolitan,2010,Macon County,IL,us-il-115,77.95
Metropolitan,2010,Macoupin County,IL,us-il-117,78.14
Metropolitan,2010,Madison County,IL,us-il-119,77.5
Metropolitan,2010,Marshall County,IL,us-il-123,78.18
Metropolitan,2010,McHenry County,IL,us-il-111,79.89
Metropolitan,2010,McLean County,IL,us-il-113,79.88
Metropolitan,2010,Menard County,IL,us-il-129,78.57
Metropolitan,2010,Mercer County,IL,us-il-131,79.41
Metropolitan,2010,Monroe County,IL,us-il-133,80.23
Metropolitan,2010,Peoria County,IL,us-il-143,78.07
Metropolitan,2010,Piatt County,IL,us-il-147,79.41
Metropolitan,2010,Rock Island County,IL,us-il-161,78.84
Metropolitan,2010,Sangamon County,IL,us-il-167,78.29
Metropolitan,2010,St. Clair County,IL,us-il-163,76.68
Metropolitan,2010,Stark County,IL,us-il-175,78.41
Metropolitan,2010,Tazewell County,IL,us-il-179,78.67
Metropolitan,2010,Vermilion County,IL,us-il-183,76.49
Metropolitan,2010,Will County,IL,us-il-197,79.76
Metropolitan,2010,Williamson County,IL,us-il-199,76.9
Metropolitan,2010,Winnebago County,IL,us-il-201,78.13
Metropolitan,2010,Woodford County,IL,us-il-203,80.29
Metropolitan,2014,Alexander County,IL,us-il-003,74.15
Metropolitan,2014,Bond County,IL,us-il-005,78.87
Metropolitan,2014,Boone County,IL,us-il-007,79.75
Metropolitan,2014,Calhoun County,IL,us-il-013,78.93
Metropolitan,2014,Champaign County,IL,us-il-019,80.25
Metropolitan,2014,Clinton County,IL,us-il-027,79.62
Metropolitan,2014,Cook County,IL,us-il-031,78.67
Metropolitan,2014,De Witt County,IL,us-il-039,78.05
Metropolitan,2014,DeKalb County,IL,us-il-037,79.89
Metropolitan,2014,DuPage County,IL,us-il-043,81.87
Metropolitan,2014,Ford County,IL,us-il-053,77.37
Metropolitan,2014,Grundy County,IL,us-il-063,78.53
Metropolitan,2014,Henry County,IL,us-il-073,79.4
Metropolitan,2014,Jackson County,IL,us-il-077,78.35
Metropolitan,2014,Jersey County,IL,us-il-083,78.17
Metropolitan,2014,Kane County,IL,us-il-089,80.92
Metropolitan,2014,Kankakee County,IL,us-il-091,77.03
Metropolitan,2014,Kendall County,IL,us-il-093,81.17
Metropolitan,2014,Lake County,IL,us-il-097,81.04
Metropolitan,2014,Macon County,IL,us-il-115,77.7
Metropolitan,2014,Macoupin County,IL,us-il-117,78.02
Metropolitan,2014,Madison County,IL,us-il-119,77.16
Metropolitan,2014,Marshall County,IL,us-il-123,78.04
Metropolitan,2014,McHenry County,IL,us-il-111,80.15
Metropolitan,2014,McLean County,IL,us-il-113,80.09
Metropolitan,2014,Menard County,IL,us-il-129,78.66
Metropolitan,2014,Mercer County,IL,us-il-131,79.51
Metropolitan,2014,Monroe County,IL,us-il-133,80.48
Metropolitan,2014,Peoria County,IL,us-il-143,78.22
Metropolitan,2014,Piatt County,IL,us-il-147,79.4
Metropolitan,2014,Rock Island County,IL,us-il-161,78.76
Metropolitan,2014,Sangamon County,IL,us-il-167,78.33
Metropolitan,2014,St. Clair County,IL,us-il-163,76.67
Metropolitan,2014,Stark County,IL,us-il-175,78.31
Metropolitan,2014,Tazewell County,IL,us-il-179,78.69
Metropolitan,2014,Vermilion County,IL,us-il-183,76.19
Metropolitan,2014,Will County,IL,us-il-197,79.94
Metropolitan,2014,Williamson County,IL,us-il-199,76.94
Metropolitan,2014,Winnebago County,IL,us-il-201,77.95
Metropolitan,2014,Woodford County,IL,us-il-203,80.3
